Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Active Infections
30 January,2020-01-30,1,1,0,0,0,0,1
31 January,2020-01-31,0,1,0,0,0,0,1
01 February,2020-02-01,0,1,0,0,0,0,1
02 February,2020-02-02,1,2,0,0,0,0,2
03 February,2020-02-03,1,3,0,0,0,0,3
04 February,2020-02-04,0,3,0,0,0,0,3
05 February,2020-02-05,0,3,0,0,0,0,3
06 February,2020-02-06,0,3,0,0,0,0,3
07 February,2020-02-07,0,3,0,0,0,0,3
08 February,2020-02-08,0,3,0,0,0,0,3
09 February,2020-02-09,0,3,0,0,0,0,3
10 February,2020-02-10,0,3,0,0,0,0,3
11 February,2020-02-11,0,3,0,0,0,0,3
12 February,2020-02-12,0,3,0,0,0,0,3
13 February,2020-02-13,0,3,1,1,0,0,2
14 February,2020-02-14,0,3,0,1,0,0,2
15 February,2020-02-15,0,3,0,1,0,0,2
16 February,2020-02-16,0,3,1,2,0,0,1
17 February,2020-02-17,0,3,0,2,0,0,1
18 February,2020-02-18,0,3,0,2,0,0,1
19 February,2020-02-19,0,3,0,2,0,0,1
20 February,2020-02-20,0,3,1,3,0,0,0
21 February,2020-02-21,0,3,0,3,0,0,0
22 February,2020-02-22,0,3,0,3,0,0,0
23 February,2020-02-23,0,3,0,3,0,0,0
24 February,2020-02-24,0,3,0,3,0,0,0
25 February,2020-02-25,0,3,0,3,0,0,0
26 February,2020-02-26,0,3,0,3,0,0,0
27 February,2020-02-27,0,3,0,3,0,0,0
28 February,2020-02-28,0,3,0,3,0,0,0
29 February,2020-02-29,0,3,0,3,0,0,0
01 March,2020-03-01,0,3,0,3,0,0,0
02 March,2020-03-02,2,5,0,3,0,0,2
03 March,2020-03-03,1,6,0,3,0,0,3
04 March,2020-03-04,22,28,0,3,0,0,25
05 March,2020-03-05,2,30,0,3,0,0,27
06 March,2020-03-06,1,31,0,3,0,0,28
07 March,2020-03-07,3,34,0,3,0,0,31
08 March,2020-03-08,5,39,0,3,0,0,36
09 March,2020-03-09,9,48,0,3,0,0,45
10 March,2020-03-10,15,63,1,4,0,0,59
11 March,2020-03-11,8,71,0,4,0,0,67
12 March,2020-03-12,10,81,0,4,1,1,76
13 March,2020-03-13,10,91,6,10,0,1,80
14 March,2020-03-14,11,102,0,10,1,2,90
15 March,2020-03-15,10,112,3,13,0,2,97
16 March,2020-03-16,14,126,1,14,0,2,110
17 March,2020-03-17,20,146,1,15,1,3,128
18 March,2020-03-18,25,171,0,15,0,3,153
19 March,2020-03-19,27,198,5,20,1,4,174
20 March,2020-03-20,58,256,3,23,0,4,229
21 March,2020-03-21,78,334,0,23,0,4,307
22 March,2020-03-22,69,403,0,23,3,7,373
23 March,2020-03-23,94,497,2,25,2,9,463
24 March,2020-03-24,74,571,15,40,1,10,521
25 March,2020-03-25,86,657,3,43,1,11,603
26 March,2020-03-26,73,730,7,50,5,16,664
27 March,2020-03-27,153,883,25,75,3,19,789
28 March,2020-03-28,136,1019,10,85,5,24,910
29 March,2020-03-29,120,1139,17,102,3,27,1010
30 March,2020-03-30,187,1326,35,137,14,41,1148
31 March,2020-03-31,309,1635,13,150,6,47,1438
01 April,2020-04-01,424,2059,19,169,6,53,1837
02 April,2020-04-02,486,2545,22,191,16,69,2285
03 April,2020-04-03,560,3105,39,230,14,83,2792
04 April,2020-04-04,579,3684,56,286,13,96,3302
05 April,2020-04-05,609,4293,43,329,22,118,3846
06 April,2020-04-06,484,4777,65,394,16,134,4249
07 April,2020-04-07,573,5350,75,469,27,161,4720
08 April,2020-04-08,565,5915,96,565,20,181,5169
09 April,2020-04-09,813,6728,70,635,46,227,5866
10 April,2020-04-10,871,7599,151,786,22,249,6564
11 April,2020-04-11,854,8453,186,972,41,290,7191
12 April,2020-04-12,758,9211,114,1086,42,332,7793
13 April,2020-04-13,1243,10454,112,1198,27,359,8897
14 April,2020-04-14,1031,11485,167,1365,37,396,9724
15 April,2020-04-15,886,12371,144,1509,27,423,10439
16 April,2020-04-16,1061,13432,258,1767,26,449,11216
17 April,2020-04-17,922,14354,273,2040,38,487,11827
18 April,2020-04-18,1371,15725,426,2466,35,522,12737
19 April,2020-04-19,1580,17305,388,2854,38,560,13891
20 April,2020-04-20,1239,18544,419,3273,33,593,14678
21 April,2020-04-21,1537,20081,703,3976,53,646,15459
22 April,2020-04-22,1292,21373,394,4370,36,682,16321
23 April,2020-04-23,1667,23040,642,5012,40,722,17306
24 April,2020-04-24,1408,24448,484,5496,59,781,18171
25 April,2020-04-25,1835,26283,442,5938,44,825,19520
26 April,2020-04-26,1607,27890,585,6523,56,881,20486
27 April,2020-04-27,1568,29458,580,7103,58,939,21416
28 April,2020-04-28,1902,31360,636,7739,69,1008,22613
29 April,2020-04-29,1705,33065,690,8429,71,1079,23557
30 April,2020-04-30,1801,34866,630,9059,75,1154,24653
01 May,2020-05-01,2396,37262,962,10021,77,1231,26010
02 May,2020-05-02,2564,39826,831,10852,92,1323,27651
03 May,2020-05-03,2952,42778,911,11763,140,1463,29552
04 May,2020-05-04,3656,46434,1082,12845,103,1566,32023
05 May,2020-05-05,2971,49405,1295,14140,128,1694,33571
06 May,2020-05-06,3602,53007,1161,15301,91,1785,35921
07 May,2020-05-07,3344,56351,1475,16776,104,1889,37686
08 May,2020-05-08,3339,59690,1111,17887,97,1986,39817
09 May,2020-05-09,3175,62865,1414,19301,115,2101,41463
10 May,2020-05-10,4311,67176,1669,20970,112,2213,43993
11 May,2020-05-11,3592,70768,1579,22549,81,2294,45925
12 May,2020-05-12,3562,74330,1905,24454,120,2414,47462
13 May,2020-05-13,3726,78056,1963,26417,137,2551,49088
14 May,2020-05-14,3991,82047,1594,28011,97,2648,51388
15 May,2020-05-15,3808,85855,2234,30245,104,2752,52858
16 May,2020-05-16,4794,90649,4012,34257,120,2872,53520
17 May,2020-05-17,5049,95698,2538,36795,152,3024,55879
18 May,2020-05-18,4628,100326,2482,39277,131,3155,57894
19 May,2020-05-19,6154,106480,3032,42309,146,3301,60870
20 May,2020-05-20,5720,112200,3113,45422,134,3435,63343
21 May,2020-05-21,6023,118223,3131,48553,148,3583,66087
22 May,2020-05-22,6536,124759,3280,51833,142,3725,69201
23 May,2020-05-23,6667,131424,2576,54409,142,3867,73148
24 May,2020-05-24,7111,138537,3285,57694,156,4023,76820
25 May,2020-05-25,6414,144951,3012,60706,150,4173,80072
26 May,2020-05-26,5907,150858,3585,64291,173,4346,82221
27 May,2020-05-27,7246,158104,3434,67725,188,4534,85845
28 May,2020-05-28,7254,165358,3171,70896,176,4710,89752
29 May,2020-05-29,8138,173496,11735,82631,269,4979,85886
30 May,2020-05-30,8364,181860,4303,86934,205,5184,89742
31 May,2020-05-31,8789,190649,4928,91862,222,5406,93381
01 June,2020-06-01,7723,198372,3882,95744,201,5607,97021
02 June,2020-06-02,8812,207187,4531,100275,222,5829,101083
03 June,2020-06-03,9689,216876,3789,104064,259,6088,106724
04 June,2020-06-04,9847,226723,4390,108454,274,6362,111907
05 June,2020-06-05,9472,236195,4770,113224,286,6648,116323
06 June,2020-06-06,10408,246603,5433,118657,297,6945,121001
07 June,2020-06-07,10882,257485,5191,123848,261,7206,126431
08 June,2020-06-08,8536,266021,5171,129019,271,7477,129525
09 June,2020-06-09,9981,276002,5634,134653,272,7749,133600
10 June,2020-06-10,11156,287158,6275,140928,358,8107,138123
11 June,2020-06-11,11135,298293,6044,146972,394,8501,142820
12 June,2020-06-12,11306,309599,7263,154235,388,8889,146475
13 June,2020-06-13,12039,321638,8092,162327,309,9198,150113
14 June,2020-06-14,11405,333043,7358,169685,324,9522,153836
15 June,2020-06-15,10032,343075,10639,180324,396,9918,152833
16 June,2020-06-16,11086,354161,7226,187550,2004,11922,154689
17 June,2020-06-17,13108,367269,6890,194440,341,12263,160566
18 June,2020-06-18,13829,381098,10741,205181,343,12606,163311
19 June,2020-06-19,14740,395838,9029,214210,364,12970,168658
20 June,2020-06-20,15918,411753,13974,228184,308,13278,170291
21 June,2020-06-21,15151,426904,9075,237259,426,13704,175941
22 June,2020-06-22,13560,440464,10879,248138,312,14016,178310
23 June,2020-06-23,15656,456120,10462,258600,468,14484,183036
24 June,2020-06-24,16868,472988,13089,271689,424,14908,186391
25 June,2020-06-25,18205,491193,13983,285672,401,15309,190212
26 June,2020-06-26,18255,509448,10246,295918,381,15690,197840
27 June,2020-06-27,20142,529590,14229,310147,414,16104,203339
28 June,2020-06-28,19610,549200,11631,321778,384,16488,210934
29 June,2020-06-29,18339,567539,13497,335275,417,16905,215359
30 June,2020-06-30,18256,585795,12565,347840,506,17411,220544
01 July,2020-07-01,19429,605224,12064,359904,438,17849,227471
02 July,2020-07-02,21947,627171,19999,379903,378,18227,229041
03 July,2020-07-03,22718,649889,14417,394320,444,18671,236898
04 July,2020-07-04,24018,673907,14746,409066,611,19282,245559
05 July,2020-07-05,23942,697849,15829,424895,421,19703,253251
06 July,2020-07-06,22500,720349,15315,440210,473,20176,259963
07 July,2020-07-07,23147,743496,16836,457046,479,20655,265795
08 July,2020-07-08,25561,769057,19508,476554,492,21147,271356
09 July,2020-07-09,25790,794847,19408,495962,479,21626,277259
10 July,2020-07-10,27762,822609,20289,516251,520,22146,284212
11 July,2020-07-11,27757,850366,19981,536232,543,22689,291445
12 July,2020-07-12,29106,879472,18198,554430,500,23189,301853
13 July,2020-07-13,28178,907650,17683,572113,541,23730,311807
14 July,2020-07-14,29917,937567,20977,593090,587,24317,320160
15 July,2020-07-15,32607,970174,20646,613736,614,24931,331507
16 July,2020-07-16,35468,1005642,22867,636603,680,25611,343428
17 July,2020-07-17,34820,1040462,17476,654079,676,26287,360096
18 July,2020-07-18,37411,1077873,23583,677662,543,26830,373381
19 July,2020-07-19,40235,1118108,22730,700392,675,27505,390211
20 July,2020-07-20,36806,1154914,24303,724695,596,28101,402118
21 July,2020-07-21,39170,1194084,27589,752284,671,28772,413028
22 July,2020-07-22,45601,1239685,31875,784159,1130,29902,425624
23 July,2020-07-23,48443,1288128,33326,817485,755,30657,439986
24 July,2020-07-24,48888,1337016,32514,849999,763,31420,455597
25 July,2020-07-25,50072,1387088,37125,887124,703,32123,467841
26 July,2020-07-26,48932,1436020,31512,918636,704,32827,484557
27 July,2020-07-27,46484,1482504,34354,952990,642,33469,496045
28 July,2020-07-28,49631,1532135,35683,988673,774,34243,509219
29 July,2020-07-29,52479,1584614,32886,1021559,775,35018,528037
30 July,2020-07-30,54968,1639582,37425,1058984,784,35802,544796
31 July,2020-07-31,57486,1697068,36554,1095538,764,36566,564964
01 August,2020-08-01,55117,1752185,51368,1146906,854,37420,567859
02 August,2020-08-02,52672,1804857,40355,1187261,760,38180,579416
03 August,2020-08-03,50488,1855345,43070,1230331,806,38986,586028
04 August,2020-08-04,51282,1906627,51220,1281551,849,39835,585241
05 August,2020-08-05,56626,1963253,45583,1327134,919,40754,595365
06 August,2020-08-06,62170,2025423,50141,1377275,899,41653,606495
07 August,2020-08-07,61455,2086878,50387,1427662,936,42589,616627
08 August,2020-08-08,65156,2152034,52135,1479797,875,43464,628773
09 August,2020-08-09,62117,2214151,54474,1534271,1013,44477,635403
10 August,2020-08-10,53016,2267167,47362,1581633,887,45364,640170
11 August,2020-08-11,61252,2328419,56461,1638094,835,46199,644126
12 August,2020-08-12,67066,2395485,57759,1695853,950,47149,652483
13 August,2020-08-13,64141,2459626,54776,1750629,1006,48155,660842
14 August,2020-08-14,65610,2525236,56920,1807549,989,49144,668543
15 August,2020-08-15,63986,2589222,53116,1860665,952,50096,678461
16 August,2020-08-16,58096,2647318,57404,1918069,952,51048,678201
17 August,2020-08-17,54298,2701616,58172,1976241,880,51928,673447
18 August,2020-08-18,65024,2766640,60455,2036696,1099,53027,676917
19 August,2020-08-19,69196,2835836,59365,2096061,979,54006,685769
20 August,2020-08-20,68518,2904354,61873,2157934,981,54987,691433
21 August,2020-08-21,69029,2973383,62858,2220792,953,55940,696651
22 August,2020-08-22,70067,3043450,59101,2279893,918,56858,706699
23 August,2020-08-23,61749,3105199,56896,2336789,846,57704,710706
24 August,2020-08-24,59696,3164895,66305,2403094,854,58558,703243
25 August,2020-08-25,66873,3231768,64151,2467245,1066,59624,704899
26 August,2020-08-26,75995,3307763,56191,2523436,1017,60641,723686
27 August,2020-08-27,76827,3384590,59620,2583056,1066,61707,739827
28 August,2020-08-28,76657,3461247,64475,2647531,1019,62726,750990
29 August,2020-08-29,78479,3539726,64982,2712513,943,63669,763544
30 August,2020-08-30,79461,3619187,60422,2772935,960,64629,781623
31 August,2020-08-31,68766,3687953,64435,2837370,816,65445,785138
01 September,2020-09-01,78168,3766121,62145,2899515,892,66337,800269
02 September,2020-09-02,82860,3848981,67874,2967389,913,67250,814342
03 September,2020-09-03,84156,3933137,67491,3034880,979,68229,830028
04 September,2020-09-04,87115,4020252,69625,3104505,950,69179,846568
05 September,2020-09-05,90600,4110852,73161,3177666,916,70095,863091
06 September,2020-09-06,91725,4202577,69630,3247296,1005,71100,884181
07 September,2020-09-07,75015,4277592,74116,3321412,1129,72229,883951
08 September,2020-09-08,89855,4367447,74608,3396020,1107,73336,898091
09 September,2020-09-09,95536,4462983,73062,3469082,1168,74504,919397
10 September,2020-09-10,96762,4559745,70904,3539986,1213,75717,944042
11 September,2020-09-11,97655,4657400,81456,3621442,1202,76919,959039
12 September,2020-09-12,94414,4751814,77862,3699304,1111,78030,974480
13 September,2020-09-13,93220,4845034,77748,3777052,1140,79170,988812
14 September,2020-09-14,81913,4926947,79213,3856265,1054,80224,990458
15 September,2020-09-15,91098,5018045,82849,3939114,1281,81505,997426
16 September,2020-09-16,97860,5115905,82924,4022038,1140,82645,1011222
17 September,2020-09-17,96787,5212692,87788,4109826,1175,83820,1019046
18 September,2020-09-18,92973,5305665,95515,4205341,1221,85041,1015283
19 September,2020-09-19,92574,5398239,94389,4299730,1149,86190,1012319
20 September,2020-09-20,87395,5485634,92926,4392656,1135,87325,1005653
21 September,2020-09-21,74493,5560127,102070,4494726,1056,88381,977020
22 September,2020-09-22,83362,5643489,89657,4584383,1085,89466,969640
23 September,2020-09-23,86703,5730192,87459,4671842,1123,90589,967761
24 September,2020-09-24,85921,5816113,81142,4752984,1144,91733,971396
25 September,2020-09-25,85717,5901830,93331,4846315,1093,92826,962689
26 September,2020-09-26,88759,5990589,92365,4938680,1124,93950,957959
27 September,2020-09-27,82770,6073359,74691,5013371,1040,94990,964998
28 September,2020-09-28,69669,6143028,85198,5098569,775,95765,948694
29 September,2020-09-29,80500,6223528,86150,5184719,1178,96943,941866
30 September,2020-09-30,86748,6310276,85274,5269993,1179,98122,942161
01 October,2020-10-01,81784,6392060,78731,5348724,1099,99221,944115
02 October,2020-10-02,79883,6471943,76339,5425063,1068,100289,946591
03 October,2020-10-03,75479,6547422,81655,5506718,937,101226,939478
04 October,2020-10-04,74770,6622192,76713,5583431,903,102129,936632
05 October,2020-10-05,60130,6682322,75855,5659286,886,103015,920021
06 October,2020-10-06,71869,6754191,81945,5741231,990,104005,908955
07 October,2020-10-07,78809,6833000,83209,5824440,963,104968,903592
08 October,2020-10-08,70797,6903797,78745,5903185,967,105935,894677
09 October,2020-10-09,73305,6977102,82628,5985813,929,106864,884425
10 October,2020-10-10,74418,7051520,89024,6074837,921,107785,868898
11 October,2020-10-11,67789,7119309,71565,6146402,813,108598,864309
12 October,2020-10-12,54262,7173571,78365,6224767,710,109308,839496
13 October,2020-10-13,63717,7237288,74079,6298846,727,110035,828407
14 October,2020-10-14,67811,7305099,81582,6380428,690,110725,813946
15 October,2020-10-15,63441,7368540,70792,6451220,882,111607,805713
16 October,2020-10-16,62304,7430844,70568,6521788,840,112447,796609
17 October,2020-10-17,61893,7492737,72583,6594371,1032,113479,784887
18 October,2020-10-18,56519,7549256,66418,6660789,582,114061,774406
19 October,2020-10-19,45506,7594762,69800,6730589,589,114650,749523
20 October,2020-10-20,54348,7649110,61828,6792417,714,115364,741329
21 October,2020-10-21,56264,7705374,79561,6871978,701,116065,717331
22 October,2020-10-22,54371,7759745,74569,6946547,686,116751,696447
23 October,2020-10-23,53931,7813676,66994,7013541,655,117406,682729
24 October,2020-10-24,50366,7864042,62270,7075811,578,117984,670247
25 October,2020-10-25,45922,7909964,59304,7135115,483,118467,656382
26 October,2020-10-26,36019,7945983,63734,7198849,485,118952,628182
27 October,2020-10-27,43036,7989019,58429,7257278,511,119463,612278
28 October,2020-10-28,50188,8039207,56594,7313872,515,119978,605357
29 October,2020-10-29,48765,8087972,57867,7371739,562,120540,595693
30 October,2020-10-30,48117,8136089,59005,7430744,550,121090,584255
31 October,2020-10-31,47228,8183317,58682,7489426,469,121559,572332
01 November,2020-11-01,45928,8229245,53312,7542738,491,122050,564457